# SDSSJID log(Mbh) log(Lbol)
133000.63+405450.2         8.9032590         45.022821
081651.86+495334.8         8.0443182         44.997807
110208.72+014112.1         8.0624775         45.494012
111359.21+210059.4         9.1440545         46.247262
214221.45+002929.3         7.6758761         44.966814
000246.18+155955.8         8.4244176         45.116128
083319.96+282306.6         7.9688338         45.211322
024144.47+010933.0         8.2982550         45.473960
150307.21+075347.8         8.7144794         45.605823
132425.93+064707.6         8.7747234         45.886159
030434.15-004705.5         7.9221543         45.117682
125304.50+024704.4         8.4518250         45.988127
105139.43+332758.0         8.4295109         45.637491
094424.80+640846.7         8.2153325         45.283766
233741.31+001743.7         8.5291922         45.418395
145924.02+161937.0         8.3537330         46.004071
212845.80-010642.4         8.8649886         45.461173
154850.22+445031.3         7.8370061         45.114517
160524.82+433655.9         8.6012589         45.687413
171653.59+334014.5         8.4535657         45.587638
031110.93-062507.7         8.3644918         45.772335
021219.54+005840.6         7.5185170         45.333649
135516.60+163840.8         9.1334422         45.461660
025654.42-011455.4         8.4772968         45.569136
012824.20+001925.1         7.6029273         45.250316
104057.34+082502.4         8.8376346         45.173298
153615.66+070933.7         9.1990150         45.719989
095532.23+170406.6         7.3605785         45.268832
100825.80+184502.7         8.2147906         45.681458
224841.36+005326.7         8.2841424         45.458328
114347.11-005448.7         8.0033399         45.653077
145406.41+382814.8         9.2073044         46.340987
095327.17+372803.5         7.3477334         45.148784
111041.46+131655.5         9.2510975         45.917175
211136.40-074136.5         7.9482386         45.447709
083455.18+284148.4         8.2678537         45.494233
082057.41+400326.7         8.0002037         45.564177
102248.71+481610.7         8.3835996         46.036381
145245.78+320728.4         8.7129307         46.275777
171750.60+581514.0         8.5888704         45.730140
082804.84+362017.5         7.8019329         45.724375
084908.14+281716.5         7.7222652         45.278620
154850.20+005549.0         8.5986762         45.338602
162728.55+251336.2         8.5236000         45.694835
095443.35+165430.0         8.0910432         45.436048
105423.09+291352.5         8.8104360         45.852172
120405.83+201345.0         7.7899765         45.629812
110218.79+142400.6         8.6945557         45.756682
122629.55+672413.2         8.1323342         45.629164
123436.54+045438.8         8.4249257         45.376842
143715.55+472813.6         8.7071607         45.953463
003735.98+000613.2         8.4896571         45.133119
154833.76+474406.2         8.0880379         45.532194
140854.60+464753.8         8.4245338         45.264487
162232.91+174823.1         8.4966830         46.050387
105043.98+500329.2         8.4625825         46.164356
164206.42+420453.7         7.9658023         45.495295
075400.37+464707.0         8.4900761         45.312475
230520.38+131555.1         8.3351761         45.353845
101308.48+484203.8         8.8946845         45.634782
165737.30+604939.3         8.1920585         45.249525
131544.45+512258.0         9.2286368         45.673733
125519.69+014412.2         9.0280646         46.336416
094215.12+090015.8         7.6928600         45.506170
083748.17+314239.9         8.1611083         45.709293
155534.61+345948.9         8.5952272         45.899902
124933.39+583858.2         8.1300180         45.600877
162459.41+235349.0         8.7894855         45.919081
082811.55+123359.3         8.0547646         45.557620
145000.93+025423.8         7.3760448         45.284901
075959.93+401746.0         8.6398872         45.860516
102751.57+330303.1         8.5204702         45.961389
093542.76+323402.7         7.9954271         45.243114
075143.45+314301.3         8.0905800         45.088229
105035.63+485056.7         8.6745065         46.060698
014341.03+125651.4         8.7969077         45.488200
120409.10+635749.2         8.5617157         45.314060
140028.92+463713.9         7.7648925         45.624204
114922.67+133412.4         8.1284511         45.333132
094133.59+070130.9         7.8500402         45.822021
091443.57+214133.8         7.9050480         45.253277
233217.20+005057.8         7.7110218         45.271646
123428.58+335105.2         7.9009466         44.121381
074959.03+390138.2         8.6520943         45.119178
102403.22+502146.9         8.3950490         45.717796
105841.03+342925.1         8.4344858         45.105249
152816.61+322258.0         8.4872453         45.981194
082215.66+180711.2         8.5053124         46.046285
125203.54+083139.0         9.0692559         45.932287
075048.27+352231.9         8.4230514         45.393151
101655.40+485004.7         8.3707136         45.786917
154854.67+023107.5         8.3833506         45.484949
152318.69+304825.9         8.1111239         45.213167
163229.65+362515.9         8.1155975         45.170655
163002.63+324801.5         8.3421021         45.692728
100033.88+104723.7         8.2866325         45.490910
094544.12+563046.3         8.7529924         45.492081
130250.55+545156.9         8.3239853         46.053163
155225.35+055856.5         9.0038790         45.461054
133819.96-025250.8         7.8403245         45.735851
155504.39+362847.9         8.9520747         46.285193
150006.91+585137.2         9.0856859         45.656909
163245.64+261050.9         8.1769160         46.010613
105706.94-004145.1         7.7606259         45.148345
005121.26+004521.6         8.1689556         46.086310
141400.97+012203.2         7.7763342         45.454524
