# SDSSJID, ra, dec, z, g_last_phot, ge_last_phot, obsflag, FESflag, FEStargflag, CLQflag, radioflag, logL5100, logMBH, logEdd_ratio, LOGL_OIII_5007
095753.44+215215.3  149.472690   21.870930  0.493  20.752  0.075  0  0                N/A  0  0   44.203   8.19   -1.12 42.343
095900.19+295738.3  149.750830   29.960655  0.459  20.733  0.072  0  1    TDSS_FES_HYPQSO  0  0   44.303   8.07   -0.90 41.767
100126.85+054606.3  150.361880    5.768418  0.399  20.825  0.058  1  0                N/A  0  0   44.355   8.73   -1.51 41.160
100150.22+513545.5  150.459270   51.595978  0.403  20.818  0.066  1  0                N/A  0  0   44.138   8.60   -1.60 41.863
100220.17+450927.3  150.584080   45.157585  0.400  20.150  0.083  1  1        TDSS_FES_DE  1  0   44.454   8.96   -1.64 41.365
100302.62+193251.2  150.760940   19.547579  0.467  18.724  0.020  1  1    TDSS_FES_HYPQSO  0  0   44.208   9.22   -2.15 42.908
100400.92+524242.3  151.003850   52.711761  0.225  20.301  0.066  0  0                N/A  0  0   43.864   8.79   -2.06 41.290
101152.98+544206.4  152.970780   54.701786  0.246  19.736  0.026  1  1    TDSS_FES_NQHISN  1  1   44.150   7.78   -0.76 41.264
101241.48+552945.8  153.172850   55.496071  0.488  20.256  0.054  0  0                N/A  0  0   44.565   8.43   -1.00 41.844
101347.80+594006.3  153.449200   59.668427  0.332  20.450  0.092  1  0                N/A  0  0   43.977   8.56   -1.71 41.351
101935.23+483226.5  154.896790   48.540710  0.362  20.458  0.049  1  0                N/A  0  0   44.413   8.82   -1.54 41.409
102016.04+014231.7  155.066870    1.708811  0.448  20.925  0.063  1  0                N/A  0  0   44.302   8.12   -0.95 41.740
102152.34+464515.6  155.468080   46.754353  0.204  19.513  0.025  1  0                N/A  1  0   44.154   8.33   -1.31 41.612
102714.15+060727.1  156.809000    6.124213  0.270  19.530  0.020  1  0                N/A  0  0   44.146   8.47   -1.46 41.886
102721.06+364344.3  156.837760   36.729000  0.615  20.667  0.066  0  1    TDSS_FES_HYPQSO  0  0   44.694   8.45   -0.88 41.997
103045.00+104753.2  157.687530   10.798114  0.362  20.699  0.076  1  0                N/A  0  0   44.419   8.67   -1.39 42.026
103054.65+381556.8  157.727750   38.265793  0.535  19.887  0.040  1  0                N/A  0  0   44.630   8.85   -1.35 41.884
103904.53+194322.5  159.768890   19.722942  0.394  20.734  0.055  1  0                N/A  0  0   44.221   8.94   -1.85 42.024
104132.78-005057.4  160.386590   -0.849287  0.303  21.116  0.078  1  0                N/A  1  0   44.368   8.94   -1.71 42.161
104552.42+002410.3  161.468440    0.402863  0.556  20.036  0.030  0  0                N/A  0  0   44.814   9.50   -1.82 42.226
104705.16+544405.8  161.771500   54.734970  0.215  18.915  0.017  0  1        TDSS_FES_DE  0  0   44.227   8.12   -1.03 42.253
104709.27+293446.9  161.788660   29.579699  0.458  20.813  0.058  0  0                N/A  0  0   44.430   8.98   -1.69 41.985
104856.85+344232.1  162.236910   34.708920  0.379  19.706  0.024  0  0                N/A  0  0   44.497   7.99   -0.63 41.783
105125.58+105621.5  162.856600   10.939321  0.602  19.294  0.034  0  0                N/A  0  0   44.902   9.64   -1.87 43.213
105203.55+151929.5  163.014790   15.324886  0.302  20.413  0.044  0  0                N/A  0  0   44.107   8.46   -1.49 41.693
105325.40+302419.3  163.355860   30.405373  0.249  20.506  0.077  1  1        TDSS_FES_DE  0  0   43.957   8.71   -1.89 41.822
105513.88+242553.6  163.807870   24.431581  0.497  20.652  0.059  1  1    TDSS_FES_HYPQSO  0  0   44.168   7.83   -0.79 41.795
105553.51+563434.4  163.973000   56.576241  0.322  18.653  0.028  1  0                N/A  0  0   44.222   9.14   -2.05 42.103
105810.57+031140.8  164.544070    3.194676  0.350  21.054  0.084  0  0                N/A  0  0   43.971   9.11   -2.28 41.267
105822.94+153534.1  164.595610   15.592830  0.348  20.165  0.046  1  0                N/A  0  0   44.350   8.67   -1.45 41.631
110146.57+511435.2  165.444060   51.243130  0.449  21.727  0.125  0  0                N/A  0  0   44.343   8.82   -1.61 42.302
110516.40+111800.9  166.318370   11.300259  0.337  20.750  0.054  1  0                N/A  0  0   44.232   8.57   -1.47 41.348
111006.87+391859.9  167.528650   39.316654  0.597  20.089  0.044  0  0                N/A  0  0   44.841   9.03   -1.32  0.000
111329.68+531338.7  168.373700   53.227440  0.239  20.233  0.035  1  1        TDSS_FES_DE  1  0   43.932   8.62   -1.83 41.309
111348.64+494522.4  168.452700   49.756222  0.659  20.606  0.046  1  0                N/A  0  0   44.734   9.20   -1.60 42.496
111830.74+025630.2  169.628120    2.941732  0.512  20.258  0.046  0  0                N/A  0  0   44.415   8.01   -0.73 41.964
113028.02+324113.2  172.616760   32.687019  0.424  21.085  0.112  0  0                N/A  0  0   44.288   7.84   -0.69 41.753
113416.81-001902.3  173.570040   -0.317331  0.356  20.877  0.092  1  0                N/A  0  0   44.265   8.63   -1.50 41.206
113707.30+270616.8  174.280440   27.104689  0.465  20.702  0.058  0  0                N/A  0  0   44.459   9.33   -2.00 42.685
114004.01+432605.6  175.016720   43.434898  0.394  20.629  0.092  1  0                N/A  0  0   44.326   8.57   -1.38 41.816
114227.15+514906.8  175.613170   51.818558  0.543  20.419  0.041  0  0                N/A  0  0   44.581   9.22   -1.77 42.429
114245.45+680236.5  175.689400   68.043495  0.404  20.919  0.052  0  0                N/A  0  0   44.167   9.17   -2.14 41.480
115219.25+105609.4  178.080220   10.935945  0.642  19.801  0.029  0  0                N/A  0  0   44.711   9.00   -1.43 42.129
115355.88+112554.2  178.482860   11.431726  0.310  20.729  0.057  1  1    TDSS_FES_HYPQSO  1  0   44.041   8.76   -1.86 41.766
115557.88+034207.8  178.991200    3.702171  0.324  21.097  0.081  0  0                N/A  0  0   44.021   7.98   -1.10 41.317
115653.48+333146.9  179.222850   33.529705  0.221  19.536  0.027  1  0                N/A  0  0   44.015   8.23   -1.35 41.849
120038.96+322401.0  180.162350   32.400299  0.512  20.496  0.051  0  0                N/A  0  0   44.656   9.05   -1.53 42.107
120114.47+133137.0  180.310300   13.526952  0.379  19.903  0.031  1  0                N/A  0  0   44.282   8.56   -1.41 41.756
120447.91+170256.8  181.199650   17.049126  0.298  18.241  0.011  0  1        TDSS_FES_DE  0  0   44.705   9.18   -1.61 42.542
